index,True_False_Ratio,hour_per_day,positive,negative,cases_per_100000,state_OR,is_claim,price_alt,is_delivery,is_pickup,updated_review_count,updated_rating,is_open_api
87,0,11.2,0.02710496,0.026528258,12351.68185,0,1,1.78,0,0,87,2,1
88,0.363636364,9.666666667,0.062898089,0.015127389,10515.1,1,1,1.78,0,0,64,5,1
89,0.306122449,13.64285714,0.039135514,0.020443925,12351.68185,0,1,2,1,0,183,3.5,1
90,0.5,11,0.046793761,0.016560755,9026.812652,0,1,2,0,0,39,3.5,1
91,0.322580645,8,0.05295472,0.013814275,0,0,1,2,1,1,590,4,1
92,0.6,17,0.029953917,0.034562212,13091.62553,0,1,1,1,0,20,1.5,1
93,1,8.714285714,0.024307518,0.034482759,7435.4,1,1,1.78,0,0,7,2,1
94,0.2,0,0.031420765,0.024590164,4876,1,1,1.78,0,0,64,2.5,1
95,0.424242424,15.85714286,0.044090056,0.01782364,8663.8,1,1,2,1,0,88,3.5,1
96,0.285714286,7.428571429,0.028194361,0.01139772,9930.8,1,1,1.78,0,0,32,3.5,1
97,0.178571429,11,0.051629863,0.012933754,5110.7,1,0,1.78,1,0,139,4.5,1
98,0.255813953,17,0.03655793,0.021372328,12351.68185,0,1,2,1,0,628,2.5,0
99,0.219512195,24,0.06012024,0.010688043,4105.8,1,1,2,1,1,44,4.5,0
100,0.5,9.666666667,0.047043011,0.014784946,4648.728201,0,1,1.78,0,0,26,4.5,1
101,0.333333333,14,0.040634291,0.022794846,9348.770421,0,1,2,1,1,519,3.5,1
102,0.5,24,0.056701031,0.026509573,9348.770421,0,1,1.78,0,0,45,4.5,1
103,0.666666667,0,0.052165354,0.011811024,12351.68185,0,0,1.78,0,0,85,4.5,1
104,0.545454545,9,0.04,0.014054054,13091.62553,0,1,1,0,0,23,4,1
105,0.395348837,11.57142857,0.04327535,0.023334748,6634,1,1,2,1,1,342,3,1
106,1,10.5,0.06627907,0.006976744,4648.728201,0,1,1.78,0,0,52,5,1
107,1,12,0.048591938,0.021535064,19684.08614,0,1,1.78,1,1,20,4,1
108,0.285714286,13,0.060344828,0.014008621,12505.71019,0,1,2,0,0,116,4,1
109,0.555555556,8,0.073282443,0.013740458,6644.8,1,1,2,0,0,43,5,1
110,1,9,0.060747664,0.015186916,4876,1,1,1.78,0,0,126,5,1
111,0.333333333,10.42857143,0.034883721,0.022286822,14292.75072,0,1,2,0,0,54,3,1
112,0.25,11.07142857,0.049751244,0.019900498,15107.12856,0,1,1,1,1,33,4,1
113,0.35483871,6.714285714,0.03057554,0.023381295,9840.8,1,1,2,0,0,153,2.5,0
114,0,8.8,0.0375,0.022916667,4872.6,1,0,1.78,0,0,74,3,1
115,0.285714286,12,0.031770045,0.030257186,11076.20134,0,1,2,0,0,60,4,1
116,0.5,11,0.045209903,0.009329028,12351.68185,0,0,2,1,1,136,3.5,1
117,1,0,0.060425953,0.007924715,11193.1,1,0,1.78,1,1,41,4.5,1
118,0.4,8.5,0.039267016,0.023560209,6824.775966,0,1,1,0,0,55,3.5,1
119,0.307692308,11.42857143,0.077922078,0.010822511,5812.260552,0,1,1.78,1,1,30,4,1
120,0.4,0,0.047193422,0.012155881,13686.65517,0,1,1,1,0,163,4,1
121,1,7.666666667,0.036579991,0.015425297,6135.892307,0,1,1.78,0,0,102,4.5,1
122,0.5,12,0.060693642,0.007225434,6520.8,1,1,1.78,0,0,68,5,1
123,0.346153846,11.25,0.033057851,0.0202855,9515.874559,0,1,1,1,1,35,2.5,1
124,0.333333333,11.07142857,0.062051282,0.015726496,8678.216679,0,1,2,1,1,112,4,1
125,0.5,8.142857143,0.053045187,0.008840864,13091.62553,0,1,2,1,0,80,5,1
126,0.5,10.14285714,0.063981043,0.018957346,12351.68185,0,1,1.78,0,0,8,5,1
127,0.185185185,7.333333333,0.060077519,0.005813953,4019.4,1,0,1,1,0,25,5,1
128,0.393939394,10.75,0.049079755,0.012269939,9426.7,1,1,1,1,1,65,4.5,1
129,0.366666667,4.1,0.052038161,0.014744146,13091.62553,0,1,2,1,0,308,3.5,0
130,0.47826087,0,0.033457249,0.011152416,10705.04829,0,0,1.78,0,0,107,4.5,1
131,0.302325581,4.5,0.059477756,0.012572534,6824.775966,0,1,2,1,1,405,4,1
132,1,0,0.031139835,0.027614571,6135.892307,0,1,1.78,0,0,9,1,1
133,1,12,0.012784091,0.022727273,11419.27286,0,1,1.78,0,0,32,2,1
134,0.419354839,8.857142857,0.033568905,0.017667845,11076.20134,0,1,2,1,1,170,3,1
135,0.428571429,8.666666667,0.072302558,0.008898776,18303.52968,0,1,1.78,1,1,21,4.5,1
136,0.6,9,0.076604555,0.00621118,4105.8,1,1,2,0,0,34,4.5,1
137,0.4,16,0.064159292,0.015486726,6135.892307,0,1,2,1,0,41,3.5,1
138,0.290322581,0,0.050847458,0.036016949,12351.68185,0,1,1,1,1,142,3.5,1
139,1,9.166666667,0.010878661,0.026778243,13986.79123,0,1,1.78,0,0,72,2.5,1
140,0.392857143,21,0.037488285,0.022492971,12199.71379,0,1,1,1,0,61,2.5,1
141,0.375,10.42857143,0.047660312,0.01559792,5971.1,1,1,2,0,0,40,4,1
142,0.428571429,10.71428571,0.022058824,0.017379679,10488.65209,0,1,2,0,0,95,2,1
143,0.636363636,8.428571429,0.054418605,0.014883721,5043.2,1,1,1,1,1,188,4.5,1
144,0.344827586,10.21428571,0.041131105,0.023136247,10488.65209,0,1,1,1,1,53,3.5,1
145,0.454545455,10.33333333,0.061933062,0.011260557,12351.68185,0,1,1.78,1,0,367,4.5,1
146,0.363636364,11.14285714,0.066898955,0.008710801,10515.1,1,1,2,0,0,108,4.5,1
147,0.235294118,14.85714286,0.034560481,0.014274981,4019.4,1,1,1.78,0,0,32,3,1
148,0.047619048,0,0.053540587,0.019861831,17208.02142,0,0,1.78,1,0,29,3,1
149,0.636363636,13.57142857,0.049960349,0.017446471,5065.2,1,1,1,1,0,47,4,1
150,0.277777778,7.833333333,0.059405941,0.008486563,9487.9,1,1,2,0,0,127,5,1
151,0.4,0,0.076103501,0.00913242,6610.5,1,1,1.78,1,1,12,4,0
152,0.161290323,12.28571429,0.037962038,0.016983017,10328.2,1,1,1.78,1,1,21,3.5,1
153,0.282608696,12.28571429,0.067650677,0.007380074,7506,1,0,1,1,1,44,4,1
154,0.5625,12.5,0.046649874,0.014710327,5975.3,1,1,2,0,0,122,3.5,1
155,0.333333333,14.85714286,0.048533333,0.018666667,10515.1,1,1,1.78,1,1,41,4,1
156,0.454545455,20,0.026772133,0.02251293,6634,1,1,1,0,0,87,2,1
157,0.4,12.71428571,0.02528445,0.03539823,9840.8,1,1,1.78,0,0,117,2.5,1
158,0.25,12.28571429,0.014196983,0.016858917,13986.79123,0,1,1.78,0,0,100,2,1
159,0.291666667,24,0.038977636,0.015335463,6824.775966,0,1,1.78,0,0,144,3.5,1
160,0.285714286,8.714285714,0.060496381,0.012926577,12405.70435,0,1,2,1,0,289,4.5,1
161,0.258064516,13,0.020179372,0.02587099,5268.4,1,1,1,1,0,118,1.5,1
162,0.21875,8.666666667,0.043444531,0.018619085,4626,1,1,2,1,0,38,4,1
163,0.3,13.57142857,0.039244186,0.010174419,12351.68185,0,1,1,1,0,130,4,1
164,0.5,10.14285714,0.063047285,0.019264448,0,0,1,2,0,0,93,4.5,1
165,0.5,9.2,0.060805861,0.007326007,12033.07723,0,1,2,0,0,52,4.5,1
166,0.666666667,10.28571429,0.01848929,0.029312289,9348.770421,0,1,1.78,0,0,71,2,1
167,0,7.25,0.048625793,0.014799154,12351.68185,0,1,1.78,0,0,52,4.5,1
168,0.538461538,11,0.046244784,0.016342142,12351.68185,0,1,2,1,1,135,4,1
169,0.340909091,6.571428571,0.055666445,0.012641384,12351.68185,0,1,1.78,1,0,680,4,0
170,0.352941176,9.142857143,0.061099796,0.00814664,10495.02262,0,1,1.78,0,0,25,5,1
171,0.333333333,8.75,0.052030794,0.013538625,11076.20134,0,1,2,1,0,81,4.5,1
172,0.428571429,12.07142857,0.049197861,0.009625668,5065.2,1,1,2,1,1,146,3.5,1
173,0.36,19,0.031890661,0.016400911,5043.2,1,1,2,0,0,52,3,1
174,0.666666667,10.71428571,0.06446281,0.004958678,12351.68185,0,1,1.78,0,0,10,5,1
175,0.422222222,8.714285714,0.052972973,0.013837838,6529.1,1,1,2,1,1,185,4,1
176,0.303030303,11.42857143,0.040879121,0.018901099,8968.74973,0,1,1,1,1,82,3,1
177,0.254901961,9.5,0.062536302,0.014520813,10515.1,1,1,2,1,1,160,4,1
178,0.357142857,0,0.050273224,0.036065574,11076.20134,0,1,1,1,1,65,3.5,1
179,1,10.5,0.049152542,0.027118644,8937.6,1,1,1.78,0,0,30,4.5,1
180,0.75,24,0.040441176,0.018382353,11728.5062,0,1,2,0,0,102,3,1
181,1,0,0.048494983,0.015050167,20425.96939,0,1,1.78,0,0,25,3,1
182,0.311111111,13,0.039030956,0.0269179,12351.68185,0,1,1,1,1,251,3.5,1
183,0.325,10.85714286,0.037988827,0.023463687,3350.648787,0,1,1.78,1,0,188,3,0
184,0.333333333,15.28571429,0.033175355,0.022116904,19734.32866,0,0,1,1,1,63,2.5,1
185,0.222222222,8.857142857,0.052863436,0.020558003,5110.7,1,1,2,0,0,75,4.5,1
186,0.217391304,4.857142857,0.047931714,0.010505581,6644.8,1,1,1.78,1,0,39,4.5,1
187,0.418604651,12.92857143,0.05396629,0.015617752,12351.68185,0,1,2,1,0,470,4,1
188,0.466666667,10.64285714,0.074928775,0.017663818,12351.68185,0,1,2,1,1,450,4,1
189,0,8,0.043933054,0.023012552,6135.892307,0,1,1.78,0,0,39,2.5,1
190,1,14.4,0.05495921,0.012451696,12612.13348,0,1,1.78,0,0,89,5,1
191,0.4,10.78571429,0.054449928,0.015682216,13091.62553,0,1,2,1,0,813,4,1
192,0.3,5,0.05849359,0.003205128,8937.6,1,1,2,0,0,30,5,1
193,0.322580645,0,0.033738192,0.012145749,11586.21252,0,0,1,0,0,47,3.5,1
194,0.296296296,10.5,0.045507585,0.016336056,5110.7,1,0,1,0,0,80,4,1
195,0,9,0.03638814,0.013477089,4876,1,1,1.78,0,0,51,4.5,1
196,0.428571429,10,0.085239085,0.004158004,12351.68185,0,1,2,0,0,19,4.5,1
197,0.428571429,12.85714286,0.057105943,0.021447028,5971.1,1,1,2,1,0,526,4.5,1
198,0.40625,13,0.047643979,0.023560209,9348.770421,0,1,2,1,1,505,3.5,1
